2019-10-07 08:35:29 DEBUG Ejb3Column:213 - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2019-10-07 08:35:29 DEBUG EntityBinder:430 - Import with entity name Users
2019-10-07 08:35:29 DEBUG Namespace:51 - Created database namespace [logicalName=Name{catalog=null, schema=public}, physicalName=Name{catalog=null, schema=public}]
2019-10-07 08:35:29 DEBUG EntityBinder:873 - Bind entity Object.Users on table Users
2019-10-07 08:35:29 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(public.Users), mappingColumn=id, insertable=true, updatable=true, unique=false}
2019-10-07 08:35:29 DEBUG PropertyBinder:175 - MetadataSourceProcessor property id with lazy=false
2019-10-07 08:35:29 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [Object.Users:id]
2019-10-07 08:35:29 DEBUG SimpleValueBinder:411 - building SimpleValue for id
2019-10-07 08:35:29 DEBUG PropertyBinder:266 - Building property id
2019-10-07 08:35:29 DEBUG BinderHelper:644 - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, identity, , ...)
2019-10-07 08:35:29 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(public.Users), mappingColumn=birthday, insertable=true, updatable=true, unique=false}
2019-10-07 08:35:29 DEBUG PropertyBinder:175 - MetadataSourceProcessor property birthday with lazy=false
2019-10-07 08:35:29 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [Object.Users:birthday]
2019-10-07 08:35:29 DEBUG SimpleValueBinder:411 - building SimpleValue for birthday
2019-10-07 08:35:29 DEBUG PropertyBinder:266 - Building property birthday
2019-10-07 08:35:29 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(public.Users), mappingColumn=email, insertable=true, updatable=true, unique=false}
2019-10-07 08:35:29 DEBUG PropertyBinder:175 - MetadataSourceProcessor property email with lazy=false
